"acetate$C00033"
"alanine$C00041"
"asparagine$C00152"
"aspartate$C00049"
"butyrate$C00246"
"cholate$C00695"
"formate$C00058"
"fucose$C01019"
"fumarate$C00122"
"glucose$C00031"
"glutamate$C00025"
"glycerol$C00116"
"glycine$C00037"
"histidine$C00135"
"inosine$C00294"
"isobutyrate$C02632"
"isoleucine$C00407"
"lactate$C00186"
"leucine$C00123"
"lysine$C00047"
"malonate$C00383"
"maltose$C00208"
"methionine$C00073"
"nicotinate$C00253"
"phenylalanine$C00079"
"proline$C00148"
"propionate$C00163"
"propylene glycol$C00583"
"succinate$C00042"
"threonine$C00188"
"tryptophan$C00078"
"tyrosine$C00082"
"uracil$C00106"
"uridine$C00299"
"valine$C00183"
"p-methylhistidine$C01152"
